m1,k1,l1,f,m2,k2,l2,Damping Time (tau),best l,amp
5.3,16400.34979,58.96084791,1,0.5,1547.20281,55.62738193,0.525,13.97955948727111,0.00020770432757955917
7.81,23017.71811,84.81036268,1,0.5,1473.605513,54.28822179,0.519,13.643018952904958,0.0001554769804606748
15.8,43143.3025,165.1248657,1,0.5,1365.294383,52.25503579,0.519,13.132064749245803,9.317907310726189e-05
27.78,72076.51598,283.0226811,1,0.5,1297.273506,50.93669612,0.531,8.076187096598556,5.698804202812258e-05
43.8,109661.6888,438.3078604,1,0.5,1251.845763,50.03690163,0.54,5.005376408706808,3.832677837515014e-05
3.88,11150.648,41.60691965,1,0.5,1436.939175,53.60856602,0.48,21.353463295385883,0.00030796606215281936
3.94,10541.90503,40.78508163,1,0.5,1337.805207,51.72630292,0.495,20.603716771609914,0.0003264387060626653
3.98,9851.593736,39.61419506,1,0.5,1237.637404,49.7521337,0.516,19.81736203191359,0.00034992481914097303
3.99,9487.812252,38.92337206,1,0.5,1188.948904,48.76369354,0.525,19.423644716879064,0.00036349133725957624
4,9270.269826,38.49780863,1,0.5,1158.783728,48.14112022,0.531,19.17566015910621,0.00037230406622167057
5.73,39040.84414,94.55864812,1,0.5,3406.705422,82.54338765,0.35100000000000003,20.74374449953652,8.800337286068023e-05
17.61,108484.8261,276.4268315,1,0.5,3080.20517,78.48828155,0.393,12.444585043265354,3.5601829502266036e-05
38.58,228684.7479,594.0363155,1,0.5,2963.773301,76.99056177,0.396,7.70165076219653,1.815883736873742e-05
108.73,624898.0148,1648.567559,1,0.5,2873.622803,75.81059033,0.39,4.784614418365276,7.190264884231166e-06
216.86,1230198.765,3266.688042,1,0.5,2836.389295,75.31785041,0.393,2.9990638799282565,3.797100134611299e-06
362.82,2043557.652,5445.892283,1,0.5,2816.214172,75.04950596,0.432,2.988378734999222,2.3297399276609983e-06
3.77,21302.44089,56.66987761,1,0.5,2825.257412,75.16990638,0.342,29.94181631726703,0.00016052963678247082
3.01,15491.08102,43.17945513,1,0.5,2573.269272,71.73937932,0.369,28.575362425696625,0.00021421562326369065
2.46,11655.86307,33.89434282,1,0.5,2369.07786,68.83426269,0.393,27.418190989617237,0.0002790583634236917
2.28,10387.96539,30.76615101,1,0.5,2278.062586,67.49907533,0.405,26.88635668773372,0.0003116710993184871
2.19,9801.389188,29.31776309,1,0.5,2237.760089,66.89932868,0.41100000000000003,26.647464491428227,0.0003294183462536454
4.9,32342.29094,79.61203397,1,0.5,3300.233769,81.2432615,0.36,20.417013486422277,0.00010453308858019667
4.6,29970.7151,74.28209292,1,0.5,3257.686424,80.71785953,0.34800000000000003,32.15168729029116,0.00011777850478875407
4.36,28047.39277,69.94321978,1,0.5,3216.444125,80.20528817,0.34800000000000003,31.94751891693936,0.00012474540692634185
4.26,27223.97287,68.08129619,1,0.5,3195.30198,79.94125318,0.318,31.842348010753227,0.0001280646697862858
4.2,26771.78125,67.05846476,1,0.5,3187.116815,79.83879778,0.318,31.801537786086925,0.00012990267691768384
5.73,2381.515032,23.35437871,1,0.5,207.8110848,20.38681362,1.422,5.123352274880267,0.0014426636016593854
6.05,2380.049924,23.99041833,1,0.5,196.6983408,19.83423005,1.455,4.984484066086539,0.0014527485038143607
6.43,2392.066368,24.80594147,1,0.5,186.0082712,19.28773036,1.488,4.847144779910103,0.0014560884350541838
7.39,2449.146043,26.91294916,1,0.5,165.7067688,18.20476689,1.557,4.574988303618309,0.001449307027496456
8.58,2534.15794,29.4913544,1,0.5,147.6782016,17.18593621,1.629,4.318948856778269,0.001432882522079918
9.94,2630.565309,32.34576985,1,0.5,132.3221986,16.26789468,1.701,4.0882384451940945,0.001413593402236275
6.48,2288.785006,24.36598311,1,0.5,176.6037813,18.79381714,1.5270000000000001,4.723020850273645,0.0015230556754956743
7.32,2234.555308,25.57920832,1,0.5,152.6335593,17.47189511,1.623,4.39081237641137,0.001586521885259788
9.11,2177.135899,28.16630955,1,0.5,119.4915422,15.45907773,1.803,3.884976952840086,0.0016839159164372109
10.98,2149.289553,30.72715531,1,0.5,97.87293046,13.99092066,1.968,3.5160185660774346,0.0017593465901086058
12.9,2134.566206,33.18778519,1,0.5,82.73512426,12.86352395,2.124,3.232695698338821,0.001820755156377156
7.68,2500.409669,27.71643395,1,0.5,162.7870878,18.04367412,1.566,4.534504536756548,0.0014277620449041771
9.75,2593.27392,31.7951131,1,0.5,132.9884062,16.30879555,1.701,4.0985171267607665,0.0014296923913239181
14.03,2721.432739,39.07700043,1,0.5,96.98619882,13.92739738,1.956,3.500054710854048,0.001448557430463989
18.42,2805.723165,45.46835461,1,0.5,76.15969503,12.34177419,2.2560000000000002,1.9568304396420106,0.0013845316298863716
22.83,2859.783946,51.10298672,1,0.5,62.6321495,11.19215346,2.442,1.7745541474432573,0.0013981025126430088
18.59,60715.98654,212.5028727,1,0.5,1633.028148,57.14942078,0.486,9.061235805207488,6.405370168767538e-05
137.12,349034.817,1383.594227,1,0.5,1272.734893,50.45264895,0.585,3.184205142844872,1.3061320489649299e-05
0,0,0,1,0.5,0,0,0,0,0
100.39,162785.6938,808.5179075,1,0.5,810.7664797,40.26826243,0.732,2.5414405584552155,2.7462997404975664e-05
39.11,54041.40303,290.7545738,1,0.5,690.8898367,37.17229712,0.8160000000000001,3.718482419989282,7.693957471864551e-05
24.87,30917.93249,175.3931238,1,0.5,621.5909226,35.25878394,0.771,5.590400587174644,0.0001308411469796602
19.14,59221.62117,212.9074711,1,0.5,1547.064294,55.6248918,0.498,8.819516529821817,6.593166876124427e-05
21.92,64586.30555,237.972677,1,0.5,1473.227773,54.2812633,0.504,8.606479643236993,6.156159387218583e-05
32.25,88067.55671,337.0660713,1,0.5,1365.388476,52.25683642,0.5670000000000001,8.285499848871341,4.7593674808738385e-05
47.55,123365.1363,484.4175826,1,0.5,1297.214893,50.9355454,0.528,5.095271070039965,3.4339086186832943e-05
67.18,168214.7975,672.3393446,1,0.5,1251.970806,50.0394006,0.591,5.005626389922202,2.6045862185697944e-05
9.72,27917.37716,104.1693782,1,0.5,1436.079072,53.59251948,0.516,13.468183979720072,0.00013273097706139667
7.45,19917.93047,77.0595464,1,0.5,1336.773857,51.70636048,0.546,12.994178714181382,0.00017841955351699418
5.89,14580.47644,58.62948201,1,0.5,1237.731447,49.75402389,0.582,12.503542546305901,0.00023629492287119132
5.3,12589.10003,51.64628169,1,0.5,1187.650946,48.73706898,0.6,12.24797449390129,0.00027061684762816313
4.98,11556.43077,47.99183503,1,0.5,1160.284214,48.17227862,0.609,12.106038631354448,0.000292932450248982
3.68,25108.55937,60.81403932,1,0.5,3411.489045,82.60132014,0.312,32.901910808468,0.00013567377928339213
3.06,18822.32146,47.96057541,1,0.5,3075.542722,78.42885594,0.336,31.239927141291158,0.00017669937251373855
2.9,17209.20204,44.70298552,1,0.5,2967.1038,77.03380816,0.34500000000000003,30.684249126057065,0.0001919558810779519
2.82,16200.81942,42.74000667,1,0.5,2872.485713,75.79558975,0.35100000000000003,30.191039675915423,0.00020337343720105462
2.79,15849.73546,42.08762255,1,0.5,2840.454384,75.37180353,0.354,30.022236363950604,0.0002075533323296296
2.78,15677.32725,41.77862827,1,0.5,2819.663174,75.09544826,0.354,29.912158021018808,0.00020977063420687164
